Time,ID, Address, FType,X,Y,Z,GWDist,Data Rate, Tx Power, Tx,CTx,UCTx, Rx,CRx,UCRx, HD-CUL,HD-UUL, TXdl,Rxdl, Rx1, Rx2, Rx1_s, Rx2_s, Rx1_dc, Rx2_dc, MaxOT, OT
3600,152,0000001|0000000000000000010010100,4,-288.596,-261.225,1,264.061,4,14,12,12,0,5,5,0,0,0,2,2,2,0,2,0,0,0
3600,153,0000001|0000000000000000010010101,4,476.491,0.359894,1,226.492,2,14,11,11,0,8,8,0,1,0,2,2,0,2,0,2,0,0
3600,154,0000001|0000000000000000010010110,4,84.975,-107.791,1,197.11,3,14,18,18,0,17,17,0,0,0,13,9,7,6,4,5,0,0
3600,155,0000001|0000000000000000010010111,4,-187.328,-494.929,1,498.882,0,14,11,11,0,9,9,0,1,0,5,4,0,5,0,4,0,0
3600,156,0000001|0000000000000000010011000,4,-259.873,-292.338,1,292.505,2,14,10,10,0,7,7,0,1,0,2,1,0,2,0,1,0,0
3600,157,0000001|0000000000000000010011001,4,123.356,-214.629,1,249.208,2,14,12,12,0,9,9,0,1,0,4,4,0,4,0,4,0,0
3600,158,0000001|0000000000000000010011010,4,-75.7934,-83.4259,1,193.153,4,14,11,11,0,10,10,0,1,0,7,2,7,0,2,0,0,0
3600,159,0000001|0000000000000000010011011,4,115.341,8.67686,1,134.939,5,14,8,8,0,6,6,0,1,0,2,0,2,0,0,0,0,0
3600,160,0000001|0000000000000000010011100,4,26.932,101.004,1,151.411,3,14,16,16,0,15,15,0,1,0,10,9,6,4,5,4,0,0
3600,161,0000001|0000000000000000010011101,4,348.388,-311.108,1,326.295,2,14,8,8,0,3,3,0,1,0,2,1,0,2,0,1,0,0
3600,162,0000001|0000000000000000010011110,4,-356.603,389.007,1,382.738,2,14,10,10,0,9,9,0,0,0,3,2,0,3,0,2,0,0
3600,163,0000001|0000000000000000010011111,4,-456.505,337.83,1,395.946,1,14,13,13,0,10,10,0,1,0,6,5,0,6,0,5,0,0
3600,164,0000001|0000000000000000010100000,4,487.528,-11.2661,1,237.795,4,14,15,15,0,10,10,0,2,0,6,1,6,0,1,0,0,0
3600,165,0000001|0000000000000000010100001,4,257.772,-138.156,1,138.375,5,14,13,13,0,10,10,0,0,0,2,1,2,0,1,0,0,0
3600,166,0000001|0000000000000000010100010,4,-97.9042,181.89,1,119.267,4,14,10,10,0,7,7,0,1,0,3,3,3,0,3,0,0,0
3600,167,0000001|0000000000000000010100011,4,175.54,-295.356,1,304.598,0,14,7,7,0,5,5,0,2,0,3,2,0,3,0,2,0,0
3600,168,0000001|0000000000000000010100100,4,198.215,-101.171,1,113.655,5,14,16,16,0,15,15,0,1,0,5,3,5,0,3,0,0,0
3600,169,0000001|0000000000000000010100101,4,-398.847,-130.63,1,198.04,2,14,8,8,0,4,4,0,2,0,1,0,0,1,0,0,0,0
3600,170,0000001|0000000000000000010100110,4,-317.291,262.543,1,271.03,3,14,7,7,0,6,6,0,0,0,5,4,4,1,3,1,0,0
3600,171,0000001|0000000000000000010100111,4,-410.279,438.61,1,451.556,0,14,6,6,0,3,3,0,3,0,1,0,0,1,0,0,0,0
3600,172,0000001|0000000000000000010101000,4,-379.65,-375.13,1,396.903,0,14,9,9,0,8,8,0,1,0,5,5,0,5,0,5,0,0
3600,173,0000001|0000000000000000010101001,4,-490.931,-426.789,1,490.099,0,14,6,6,0,5,5,0,0,0,2,1,0,2,0,1,0,0
